"Year","rtCode","ptCode","NW_M","TV_M","NW_X","TV_X","UV_M","UV_X","metaData"
2013,462,32,0,0,2250000,624135,0,277.393333333333,NA
2013,462,36,2450.59008789062,14642.873278044,0,0,5975.24382000911,0,NA
2013,462,40,25,129.595002765,0,0,5183.8001106,0,NA
2013,462,144,3370.26007080078,8273.282633997,454.806070771201,377.6140368,2454.79056814486,830.274838151767,NA
2013,462,208,900,2428.93748736,900,2186.043738624,2698.8194304,2428.93748736,"mirrored export for non-reporter"
2013,462,276,196.800003051758,721.696671327,0,0,3667.1578258929,0,NA
2013,462,360,0,0,185,105,0,567.567567567567,NA
2013,462,381,180,263.20517622,0,0,1462.250979,0,NA
2013,462,458,248.470001220703,817.957297524,0,0,3291.97606755534,0,NA
2013,462,699,2797.85009765625,7923.623088813,2000,725.47748288,2832.03989214812,362.73874144,NA
2013,462,702,2845.7900390625,7213.093407606,2330,5017.5357141,2534.65410609921,2153.44880433476,NA
2013,462,710,5,25.655443968,0,0,5131.0887936,0,NA
2013,462,764,18459.189453125,83324.322804522,0,0,4513.97516755081,0,NA
2013,462,784,9597.2001953125,54035.126585577,9597.2001953125,48631.6139270193,5630.30107592932,5067.27096833638,"mirrored export for non-reporter"
2013,462,792,97.4000015258789,88.760001015,0,0,911.29363064144,0,NA
2013,466,32,283200,255598.2,283200,232362,902.536016949153,820.487288135593,"mirrored import for non-reporter"
2013,466,156,10200,28162.2,10200,25602,2761,2510,"mirrored import for non-reporter"
2013,466,251,76,36.515016175,76,33.19546925,480.460739144737,436.782490131579,"mirrored import for non-reporter"
2013,466,384,1581477.77777778,142722.598290789,1581477.77777778,129747.81662799,90.2463507842244,82.0421370765676,"mirrored import for non-reporter"
2013,466,422,362,550.18249,362,500.1659,1519.84113259668,1381.67375690608,"mirrored import for non-reporter"
2013,466,710,48088,42973.82623424,48088,39067.1147584,893.649688783896,812.40880798536,"mirrored import for non-reporter"
2013,466,724,760,3077.34865435074,760,2797.5896857734,4049.14296625097,3681.03906022816,"mirrored import for non-reporter"
2013,466,854,15000,40109.058,15000,36462.78,2673.9372,2430.852,"mirrored import for non-reporter"
2013,470,56,1175,753.0567856,1399,824.2375969702,640.899392,589.161970672051,NA
2013,470,100,32803400,10870735.3188784,12528700,3939016.58052158,331.390505828006,314.399465269468,NA
2013,470,251,15155556.0771163,4868603.5993938,10732979,3473887.26754972,321.242161925355,323.664778208335,NA
2013,470,276,883,1732.8260894,14198,22338.19918512,1962.43045232163,1573.33421503874,NA
2013,470,348,6624150,2132846.4068198,98181,24511,321.980390966358,249.651154500362,NA
2013,470,381,785,1141.5174162,2290.64195259754,2092.50897312,1454.16231363057,913.503295766995,NA
